'Wijziging;Project;ID'	'Wijziging;ID'	'Wijziging;Korte omschrijving'	'Wijziging;Status'	'Wijziging;Categorie'	'ID'	'Korte omschrijving'	'Status'
'1.778'	'65.267'	'RIB: migratie naar diensten'	'In uitvoering'	'CAT1'	'708.478'	'30 OTAP Implementeren op test'	'Is uitgevoerd'
'1.778'	'65.267'	'RIB: migratie naar diensten'	'In uitvoering'	'CAT1'	'708.477'	'35 OTAP Functionele test'	'Is uitgevoerd'
'1.778'	'65.267'	'RIB: migratie naar diensten'	'In uitvoering'	'CAT1'	'708.476'	'40 OTAP Implementeren op acceptatie'	'Is uitgevoerd'
'1.778'	'65.267'	'RIB: migratie naar diensten'	'In uitvoering'	'CAT1'	'708.475'	'45 OTAP GAT test'	'In uitvoering'
'1.778'	'65.267'	'RIB: migratie naar diensten'	'In uitvoering'	'CAT1'	'708.474'	'50 OTAP Vrijgave wijziging'	'Wacht op uitvoering'
'1.778'	'65.267'	'RIB: migratie naar diensten'	'In uitvoering'	'CAT1'	'708.473'	'60 OTAP Implementeren op productie'	'Wacht op uitvoering'
'1.778'	'65.267'	'RIB: migratie naar diensten'	'In uitvoering'	'CAT1'	'708.472'	'80 OTAP Accepteren van de wijziging'	'Wacht op uitvoering'
'1.778'	'65.267'	'RIB: migratie naar diensten'	'In uitvoering'	'CAT1'	'708.471'	'90 OTAP Bijwerken CMDB'	'Wacht op uitvoering'
'1.778'	'65.267'	'RIB: migratie naar diensten'	'In uitvoering'	'CAT1'	'708.470'	'99 OTAP Evalueren van de wijziging'	'Wacht op uitvoering'
'1.778'	'65.269'	'rib:Registreren standaard C# 4.5 applicatie in ISA'	'In uitvoering'	'CAT0'	'708.512'	'20 KPW bouw'	'Is uitgevoerd'
'1.778'	'65.269'	'rib:Registreren standaard C# 4.5 applicatie in ISA'	'In uitvoering'	'CAT0'	'708.511'	'35 KPW Funct. test'	'In uitvoering'
'1.778'	'65.269'	'rib:Registreren standaard C# 4.5 applicatie in ISA'	'In uitvoering'	'CAT0'	'708.510'	'45 KPW Gat test '	'Wacht op uitvoering'
'1.778'	'65.269'	'rib:Registreren standaard C# 4.5 applicatie in ISA'	'In uitvoering'	'CAT0'	'708.509'	'60 KPW Impl.op productie '	'Wacht op uitvoering'
