Applicatie	RFC	Omschrijving	Status	Categorie	20 AP-Model Bouw	40 AP-Model Implementeren op acceptatie 	45 AP-Model GAT test	50 AP-Model Vrijgave wijziging	60 AP-Model Implementeren op productie	80 AP-Model  Accepteren van de wijziging	90 AP-Model Bijwerken CMDB	99 AP-Model Evaluatie	20 KPW bouw	35 KPW Funct. test	45 KPW Gat test 	60 KPW Impl.op productie 	99 KPW Evaluatie vd wijziging 	20 OTAP Bouw	30 OTAP Implementeren op test	35 OTAP Functionele test	40 OTAP Implementeren op acceptatie	45 OTAP GAT test	50 OTAP Vrijgave wijziging	60 OTAP Implementeren op productie	80 OTAP Accepteren van de wijziging	90 OTAP Bijwerken CMDB	99 OTAP Evalueren van de wijziging	10 P-Model intake	20 P-Model bouw	60 P-Model Implementeren op productie	80 P-Mode  Accepteren van de wijziging	90 P-Model Bijwerken CMDB	99 P-Model Evaluatie	10 Verkort model Intake	50 Verkort Vrijgave wijziging	60 Verkort model Implementeren op productie	80 Verkort model Acceptatie vd wijziging	90 Verkort model Bijwerken CMDB	99 Verkort model  Evaluatie
	71.265	"NPR: XSB srvice aanmaken/aanpassen DNS entries."	Geaccepteerd	CAT0																																I	W	W		
"NPR - GEO"	71.266	"NPR:Geo service OTAP serviceaccounts aanmaken voor C# 4.5 applicatie Geo201210"	Geaccepteerd	CAT1																																	I	W		
"NUMGEN"	68.386	"Numgen: migratie naar diensten "	In uitvoering	CAT1														I	W	W	W	W	W	W	W	W	W													
"RDD"	66.630	"account zzwebrdd aanmaken voor OTAP"	Geaccepteerd	CAT1						I	W	W																												
	71.877	"Nieuwe DNS entry/entries voor webrdd"	In uitvoering	CAT0												I	W																							
"RER"	68.300	"Rer:: Migratie naar diensten"	In uitvoering	CAT1															I	W	W	W	W	W	W	W	W													
	68.301	"RER: C# 4.5 applicatie via script toevoegen in ADFS Op de actieve ADFS server in OT, GATDIENSTEN en DIENSTEN dient  met de parameter RER het volgende script uitgevoerd te worden:  d:\beheer\scripts\ADFS2\ Create-RelyingPartyTrust.PS1 RER  "	In uitvoering	CAT0										I	W	W	W																							
	68.302	"RER: Registreren standaard C# 4.5 applicatie in ISA"	In uitvoering	CAT0										I	W	W	W																							
	68.303	"RER:Nieuwe DNS entry/entries voor RER"	In uitvoering	CAT0										I	W	W	W																							
	68.305	"RER aanvraag  zz account door OTAP"	Geaccepteerd	CAT1																																	I	W		
"RET"	62.004	"ADFS configureren voor webapplicatie RET"	In uitvoering	CAT1																I	W	W	W	W	W	W	W													
	62.067	"RET: migratie naar nieuw c# platform"	In uitvoering	CAT1																I	W	W	W	W	W	W	W													
	62.068	"RET: configureren ISA voor nieuwe omgeving"	In uitvoering	CAT1																I	W	W	W	W	W	W	W													
"RIB"	65.265	"RIB: Aanvraag zzwebrib op gatdiensten en diensten"	In uitvoering	CAT1			I	W	W	W	W	W																												
	65.266	"RIB:Nieuwe DNS entry/entries voor RIB "	In uitvoering	CAT0										I	W	W	W																							
	65.267	"RIB: migratie naar diensten"	In uitvoering	CAT1																		I	W	W	W	W	W													
	65.269	"rib:Registreren standaard C# 4.5 applicatie in ISA"	In uitvoering	CAT0										I	W	W	W																							
"RME"	64.093	"RME: Meetmiddelen intern :  migratie naar diensten"	In uitvoering	CAT1																	I	W	W	W	W	W	W													
	64.095	"RME: C# 4.5 applicatie via script toevoegen in ADFS"	In uitvoering	CAT0									I	W	W	W	W																							
	64.345	"rme: aanvraag zzwebrme op gatdiensten en diensten"	In uitvoering	CAT1			I	W	W	W	W	W																												
	69.203	"RME: Meetmiddelen extern :  migratie naar diensten"	In uitvoering	CAT1																I	W	W	W	W	W	W	W													
"RME EXTERN"	69.200	"RME Extern:Nieuwe DNS entry/entries voor RME extern"	In uitvoering	CAT0										I	W	W	W																							
	69.201	" RME extern :Registreren standaard C# 4.5 applicatie in ISA"	In uitvoering	CAT0										I	W	W	W																							
	69.202	"RME EXTERN: aanvraag zz accounts rme extern op gatdiensten en diensten"	In uitvoering	CAT1			I	W	W	W	W	W																												
	69.204	" RME EXTERN: C# 4.5 applicatie via script toevoegen in ADFS"	In uitvoering	CAT0										I	W	W	W																							
"RME EXTERN"	69.200	"RME Extern:Nieuwe DNS entry/entries voor RME extern"	In uitvoering	CAT0										I	W	W	W																							
	69.201	" RME extern :Registreren standaard C# 4.5 applicatie in ISA"	In uitvoering	CAT0										I	W	W	W																							
	69.202	"RME EXTERN: aanvraag zz accounts rme extern op gatdiensten en diensten"	In uitvoering	CAT1			I	W	W	W	W	W																												
	69.204	" RME EXTERN: C# 4.5 applicatie via script toevoegen in ADFS"	In uitvoering	CAT0										I	W	W	W																							
"SNG"	68.806	"SNG:: Migratie naar diensten"	In uitvoering	CAT1														I	W	W	W	W	W	W	W	W	W													
	68.807	"SNG e: Registreren standaard C# 4.5 applicatie in XML firewal"	In uitvoering	CAT0									I	W	W	W	W																							
	68.809	"SNG: Nieuwe DNS entry/entries  Informatie update verwijst niet naar federatie maar naar VIP 1128"	In uitvoering	CAT0										I	W	W	W																							
	68.810	"SNG aanvraag  zz account door OTAP"	Geaccepteerd	CAT1																																		I		
"STANDCODERING"	63.773	"standcodering: migratie naar diensten"	In uitvoering	CAT1																			W	W	W	W	W													
	64.341	"standcodering: aanvraag zzstandcodering op gatdiensten en diensten"	In uitvoering	CAT1			I	W	W	W	W	W																												
"TCB, RMA EN REF"	68.911	"TCB, RMA en REF: migratie data"	In uitvoering	CAT1														I	W	W	W	W	W	W	W	W	W													
"VRD BEHEER"	71.718	"VRD Beheer: toevoegen functionaliteit kenteken generator"	In uitvoering	CAT1														I	W	W	W	W	W	W	W	W	W													
