Id	Omschrijving	Status	Categorie	HpSvcId	Appid
71811	In OT, GATDIENSTEN en DIENSTEN domein rechten op serviceaccounts inrichten voor one-touch deploy. Dit om tijdens de installatie serviceaccounts aan te maken of ww te resetten. Rechten worden uitgedeeld aan de groep WebInstaller.	Geaccepteerd	CAT1	71.750	
71812	toekennen autorisaties account 	Geaccepteerd	CAT1	71.763	
71813	Implementeren HMAC sleutels op C# .NET 4.5 platform	Geregistreerd	CAT1	67.922	
71814	Open zetten SMB-koppeling vanuit OT, GATDIENSTEN en DIENSTEN naar de TFS.	Geregistreerd	CAT1	71.849	
71815	VIP1028 inrichten op O, T, A en P Is een kopie van VIP028, maar dan voor ontsluiting van XML-FW op de bovenste bus.	In uitvoering	CAT1	67.251	
71816	Implementeren HMAC sleutels op C# .NET 4.5 platform	In uitvoering	CAT1	67.727	
71817	meet middelen extern adfs aanvraag ivm C# Migratie	In uitvoering	CAT1	69.400	
71818	Van WebHosting platform diensten de presentatie (digitale diensten zone) webfarm toegang geven tot smbc0033 ('onderlangs').	In uitvoering	CAT0	71.041	
71819	Verzoek toegang instellen tot VIP024 (A en P omgeving), poort 80	In uitvoering	CAT0	71.194	
71820	Van WebHosting platform diensten de presentatie diensten webfarm toegang geven tot VIP209.  Gatdiensten:  RDW49002 > 10.222.2.37 RDW49003 > 10.222.2.39 RDW49004 > 10.222.2.38 RDW49005 > 10.222.2.40 	Intake	CAT0	71.878	
71821	 RME EXTERN: C# 4.5 applicatie via script toevoegen in ADFS	In uitvoering	CAT0	69.204	85
71822	 RME extern :Registreren standaard C# 4.5 applicatie in ISA	In uitvoering	CAT0	69.201	85
71823	AMS web aanvraag  zz account door OTAP	Geaccepteerd	CAT1	68.313	86
71824	AMS web:Nieuwe DNS entry/entries	In uitvoering	CAT0	68.312	86
71825	AMS webservice:  C# 4.5 applicatie via script toevoegen in ADFS   	In uitvoering	CAT0	68.310	87
71826	AMS webservice: Registreren standaard C# 4.5 applicatie in ISA	In uitvoering	CAT0	68.311	87
71827	AMSweb:: Migratie naar diensten	In uitvoering	CAT1	68.308	88
71828	brd: migratie naar diensten	In uitvoering	CAT1	68.404	90
71829	BRV:  migratie naar diensten	In uitvoering	CAT1	63.979	91
71830	brv: aanvraag zzwebbrv op gatdiensten en diensten	In uitvoering	CAT1	64.349	91
71831	CNB dashboard: migratie naar diensten	In uitvoering	CAT1	65.859	92
71832	cplus: migratie naar diensten	In uitvoering	CAT1	68.403	93
71833	CROS: Aanmaken zzCros-a	In uitvoering	CAT1	71.827	94
71834	Cros: Installatie van de naar .net 4.5 gemigreerde services en aanmaken application pools: 	In uitvoering	CAT1	71.841	94
71835	Crwam aanvraag  zz account door OTAP	Geaccepteerd	CAT1	66.570	95
71836	Crwam: migratie naar diensten	In uitvoering	CAT1	66.572	95
71837	Crwam C# 4.5 applicatie via script toevoegen in ADFS	In uitvoering	CAT0	66.573	95
71838	Crwam Registreren standaard C# 4.5 applicatie in ISA	In uitvoering	CAT0	66.595	95
71839	Crwam Aanvraag zzcrwam op gatdiensten en diensten	In uitvoering	CAT1	66.596	95
71840	CRWAM adfs aanvraag ivm C# Migratie	In uitvoering	CAT1	69.399	95
71841	Crwam : Nieuwe DNS entry/entries voor Crwam	In uitvoering	CAT0	66.597	95
