HpSvcId	WorkorderId
68.442	744.583
68.442	744.582
68.442	744.579
68.471	744.945
68.471	744.944
68.471	744.943
68.471	744.942
68.471	744.941
68.471	744.940
68.474	744.972
68.474	744.965
68.474	744.966
68.474	744.967
68.474	744.968
68.474	744.969
68.474	744.971
68.474	744.970
68.479	745.030
68.479	745.035
68.479	745.029
68.479	745.028
68.479	745.032
68.479	745.034
68.479	745.033
68.479	745.031
68.493	745.157
68.493	745.156
68.493	745.155
68.493	745.154
68.493	745.153
68.493	745.152
68.995	750.909
68.995	750.908
68.996	750.920
68.996	750.913
68.996	750.914
68.996	750.915
68.996	750.916
68.996	750.917
68.996	750.919
68.996	750.918
69.289	754.429
69.289	754.428
70.869	773.027
70.869	773.026
70.869	773.029
70.869	773.028
70.870	773.035
70.870	773.034
70.870	773.033
70.870	773.032
70.870	773.031
70.871	773.040
70.871	773.036
70.871	773.037
70.871	773.039
70.871	773.038
70.878	773.099
70.878	773.102
70.878	773.101
70.878	773.100
70.873	773.056
70.873	773.052
70.873	773.055
70.873	773.054
70.873	773.058
70.873	773.053
70.873	773.059
70.873	773.060
70.873	773.061
70.873	773.057
70.974	774.003
70.974	774.002
70.974	774.001
70.864	772.991
70.864	772.990
70.864	772.989
70.864	772.988
70.865	772.995
70.865	772.994
70.865	772.996
70.865	772.997
70.865	772.998
70.867	773.007
70.867	773.006
70.867	773.005
70.867	773.004
70.867	773.008
70.879	773.104
70.879	773.105
70.879	773.107
70.879	773.106
70.868	773.017
70.868	773.010
70.868	773.011
70.868	773.012
70.868	773.013
70.868	773.014
70.868	773.016
70.868	773.009
70.868	773.018
70.868	773.015
68.854	749.045
68.854	749.044
68.855	749.051
68.855	749.050
68.855	749.052
68.855	749.053
68.856	749.057
68.856	749.056
68.856	749.055
68.856	749.058
70.618	769.671
70.618	769.668
70.618	769.670
70.618	769.672
70.618	769.673
70.618	769.669
71.264	777.150
71.264	777.149
71.264	777.151
71.265	777.168
71.265	777.167
71.265	777.166
71.265	777.169
71.266	777.183
71.266	777.185
71.266	777.184
68.386	743.973
68.386	743.968
68.386	743.969
68.386	743.970
68.386	743.972
68.386	743.974
68.386	743.975
68.386	743.976
68.386	743.977
68.386	743.971
66.630	723.607
66.630	723.606
66.630	723.605
71.877	783.578
71.877	783.577
68.305	743.148
68.305	743.147
68.305	743.149
68.300	743.113
68.300	743.120
68.300	743.112
68.300	743.114
68.300	743.115
68.300	743.116
68.300	743.117
68.300	743.118
68.300	743.119
68.301	743.125
68.301	743.124
68.301	743.123
68.301	743.126
68.302	743.131
68.302	743.130
68.302	743.129
68.302	743.128
68.303	743.133
68.303	743.134
68.303	743.135
68.303	743.136
62.004	673.678
62.004	673.677
62.004	673.676
62.004	673.675
62.004	673.674
62.004	673.673
62.004	673.672
62.004	673.679
62.067	674.445
62.067	674.439
62.067	674.440
62.067	674.441
62.067	674.442
62.067	674.444
62.067	674.446
62.067	674.443
62.068	674.452
62.068	674.455
62.068	674.450
62.068	674.451
62.068	674.454
62.068	674.457
62.068	674.456
62.068	674.453
65.265	708.449
65.265	708.445
65.265	708.446
65.265	708.448
65.265	708.450
65.265	708.447
65.266	708.465
65.266	708.468
65.266	708.467
65.266	708.466
65.267	708.472
65.267	708.470
65.267	708.471
65.267	708.473
65.267	708.475
65.267	708.474
65.269	708.511
65.269	708.510
65.269	708.509
65.269	708.508
64.093	695.469
64.093	695.470
64.093	695.467
64.093	695.471
64.093	695.473
64.093	695.472
64.093	695.468
64.095	695.512
64.095	695.516
64.095	695.515
64.095	695.514
64.095	695.513
64.345	698.436
64.345	698.435
64.345	698.434
64.345	698.438
64.345	698.439
64.345	698.437
69.203	753.454
69.203	753.452
69.203	753.451
69.203	753.453
69.203	753.456
69.203	753.457
69.203	753.458
69.203	753.455
69.200	753.432
69.200	753.433
69.200	753.434
69.200	753.435
69.202	753.446
69.202	753.442
69.202	753.443
69.202	753.445
69.202	753.447
69.202	753.444
68.810	748.646
68.810	748.645
68.806	748.617
68.806	748.614
68.806	748.613
68.806	748.615
68.806	748.616
68.806	748.618
68.806	748.619
68.806	748.620
68.806	748.622
68.806	748.621
68.807	748.628
68.807	748.627
68.807	748.626
68.807	748.625
68.807	748.624
68.809	748.642
68.809	748.641
68.809	748.643
68.809	748.640
63.773	692.223
63.773	692.227
63.773	692.226
63.773	692.225
63.773	692.224
64.341	698.386
64.341	698.387
64.341	698.388
64.341	698.389
64.341	698.391
64.341	698.390
68.911	749.773
68.911	749.770
68.911	749.767
68.911	749.768
68.911	749.769
68.911	749.772
68.911	749.776
68.911	749.774
68.911	749.775
68.911	749.771
71.718	781.790
71.718	781.791
71.718	781.789
71.718	781.787
71.718	781.793
71.718	781.794
71.718	781.795
71.718	781.796
71.718	781.788
71.718	781.792
66.925	726.863
66.925	726.864
66.925	726.865
66.925	726.866
67.830	737.066
67.830	737.065
67.830	737.064
70.805	772.134
70.805	772.136
70.805	772.135
70.995	774.222
70.995	774.221
70.995	774.223
71.051	774.721
71.051	774.720
71.051	774.719
71.318	777.787
71.318	777.789
71.318	777.788
71.349	778.046
71.349	778.045
71.749	782.133
71.749	782.132
71.749	782.131
71.750	782.148
71.750	782.150
71.750	782.149
71.763	782.307
71.763	782.309
71.763	782.308
67.922	738.479
67.922	738.480
67.922	738.478
67.922	738.483
67.922	738.482
67.922	738.481
71.849	783.205
71.849	783.204
71.849	783.206
71.849	783.207
71.849	783.208
71.849	783.203
