'ID'	'Korte omschrijving'	'Status'	'Categorie'
'71.750'	'In OT, GATDIENSTEN en DIENSTEN domein rechten op serviceaccounts inrichten voor one-touch deploy. Dit om tijdens de installatie serviceaccounts aan te maken of ww te resetten. Rechten worden uitgedeeld aan de groep WebInstaller.'	'Geaccepteerd'	'CAT1'
'71.749'	'Powershell 4 op het WebHosting platform beschikbaar stellen. de machines RDW49001 t/m RDW49009 en RDW49030 t/m RDW49033 '	'Geaccepteerd'	'CAT1'
'71.755'	'Toegang naar VIP028 instellen (A en P)'	'Gesloten'	'CAT0'
'71.763'	'toekennen autorisaties account '	'Geaccepteerd'	'CAT1'
'71.841'	'Cros: Installatie van de naar .net 4.5 gemigreerde services en aanmaken application pools: '	'In uitvoering'	'CAT1'
'71.827'	'CROS: Aanmaken zzCros-a'	'In uitvoering'	'CAT1'
'71.849'	'Open zetten SMB-koppeling vanuit OT, GATDIENSTEN en DIENSTEN naar de TFS.'	'Geregistreerd'	'CAT1'
'71.877'	'Nieuwe DNS entry/entries voor webrdd'	'In uitvoering'	'CAT0'
'71.878'	'Van WebHosting platform diensten de presentatie diensten webfarm toegang geven tot VIP209.  Gatdiensten:  RDW49002 > 10.222.2.37 RDW49003 > 10.222.2.39 RDW49004 > 10.222.2.38 RDW49005 > 10.222.2.40 '	'Intake'	'CAT0'
'70.879'	'Katv: Nieuwe DNS entry/entries voor katv c# migratie'	'In uitvoering'	'CAT0'
'70.805'	'Proxy Systeemaanpassing op Presentatie berichten webfarm van het WebHosting platform.'	'Geaccepteerd'	'CAT1'
'70.278'	'OVi: Aanvraag DNS entrys voor C# migratie'	'Gesloten'	'CAT0'
'70.746'	'EDS RBCZ - ADFS rule aanmaken op OT omgeving ivm C# migratie'	'Geaccepteerd'	'CAT1'
'70.744'	'EDS RBCZ - aanvraag DNS entries tbv C# migratie'	'In uitvoering'	'CAT0'
'70.743'	'EDS OVIZ - aanvraag DNS entries tbv C# migratie'	'In uitvoering'	'CAT0'
'70.823'	'EDS Ordersearch - oplevering C# componenten tbv gemigreerde EDS Ordersearch '	'Geaccepteerd'	'CAT1'
'70.829'	'EDS Ordersearch - ADFS rule aanmaken tbv EDS Ordersearch A en P omgeving'	'In uitvoering'	'CAT1'
'70.830'	'EDS Ordersearch - TMG rules aanpassen A en P omgeving tbv EDS Ordersearch'	'In uitvoering'	'CAT1'
'70.868'	'Katv :  migratie naar diensten'	'In uitvoering'	'CAT1'
'70.618'	'Niwo :: Migratie naar diensten'	'In uitvoering'	'CAT1'
'70.745'	'EDS OVIZ - ADFS rule aanmaken op OT omgeving ivm C# migratie'	'Geaccepteerd'	'CAT1'
'70.865'	'katv: C# 4.5 applicatie via script toevoegen in ADFS'	'In uitvoering'	'CAT0'
'70.869'	'Inform: Aanvragen zz account voor migratie naar diensten'	'In uitvoering'	'CAT0'
'70.870'	'Inform C# 4.5 applicatie via script toevoegen in ADFS'	'In uitvoering'	'CAT0'
'70.867'	'Katv: Registreren standaard C# 4.5 applicatie in TMG'	'In uitvoering'	'CAT0'
'70.873'	'Inform :  migratie naar diensten'	'In uitvoering'	'CAT1'
'70.974'	'Aanmaken OT\zzIPR-o account'	'Geaccepteerd'	'CAT1'
'70.864'	'Katv: Aanvragen zz account voor migratie naar diensten'	'Geaccepteerd'	'CAT1'
'70.871'	'Inform: Registreren standaard C# 4.5 applicatie in TMG'	'In uitvoering'	'CAT0'
'70.878'	'Inform: Nieuwe DNS entry/entries voor Inform'	'In uitvoering'	'CAT0'
'70.911'	'EDS Ordersearch - nieuwe serviceaccount tbv EDS Ordersearch (A en P omgeving)'	'Geaccepteerd'	'CAT1'
'70.969'	'presentatie applicatie servers toevoegen aan ACL van VIP028 in gatdiensten en diensten'	'Gesloten'	'CAT0'
